query_id,section_url,relevance
q01,https://qdrant.tech/documentation/capacity-planning/#hnsw-vector-indexes,1
q01,https://qdrant.tech/documentation/faq/qdrant-fundamentals/#if-i-need-to-add-a-payload-index-after-the-hnsw-index-has-already-been-built-how-do-i-trigger-a-full-reindex,1
q01,https://qdrant.tech/documentation/faq/qdrant-fundamentals/#if-limit-is-higher-than-hnsw-ef-does-qdrant-automatically-adjust-hnsw-ef,1
q01,https://qdrant.tech/documentation/faq/qdrant-fundamentals/#what-is-the-default-value-of-hnsw-ef-during-search,1
q01,https://qdrant.tech/documentation/manage-data/collections/#indexing-vectors-in-hnsw,1
q01,https://qdrant.tech/documentation/manage-data/indexing/#filterable-hnsw-index,1
q01,https://qdrant.tech/documentation/manage-data/indexing/#rebuild-the-hnsw-index,1
q01,https://qdrant.tech/documentation/migration-guidance/diagnosing-discrepancies/#hnsw-index-not-built,1
q01,https://qdrant.tech/documentation/ops-configuration/administration/#maximum-hnsw-ef-parameter,1
q01,https://qdrant.tech/documentation/ops-configuration/memory-tiers/#hnsw-vector-index,1
q01,https://qdrant.tech/documentation/ops-optimization/optimize/#inline-storage-in-hnsw-index,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#authenticate-and-set-a-context,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#comparing-with-cpu,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#cost-of-indexing,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#create-the-cluster,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#create-the-collection,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#enable-indexing,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#gpu-accelerated-hnsw-indexing-in-qdrant,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#gpu-vs-cpu-comparison,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#hnsw-indexing-time,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#initialize-the-client,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#install-dependencies,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#install-the-cli,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#poll-for-optimizations,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#prepare-a-query-set,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#prepare-the-dataset,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#query-latency-stats,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#query-the-collection,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#query-while-indexing,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#run-both-coroutines,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#setting-up-a-gpu-powered-cluster,1
q01,https://qdrant.tech/documentation/tutorials-operations/gpu-accelerated-hnsw-indexing/#upload-the-data,1
q02,https://qdrant.tech/documentation/manage-data/quantization/#scalar-quantization,1
q02,https://qdrant.tech/documentation/manage-data/quantization/#setting-up-scalar-quantization,1
q03,https://qdrant.tech/documentation/manage-data/quantization/#product-quantization,1
q03,https://qdrant.tech/documentation/manage-data/quantization/#setting-up-product-quantization,1
q04,https://qdrant.tech/documentation/embeddings/mistral/#using-mistral-embedding-models-with-binary-quantization,1
q04,https://qdrant.tech/documentation/embeddings/openai/#using-openai-embedding-models-with-qdrants-binary-quantization,1
q04,https://qdrant.tech/documentation/manage-data/quantization/#binary-quantization,1
q04,https://qdrant.tech/documentation/manage-data/quantization/#binary-quantization-as-hamming-distance,1
q04,https://qdrant.tech/documentation/manage-data/quantization/#setting-up-binary-quantization,1
q05,https://qdrant.tech/documentation/search/filtering/#filtering-clauses,1
q06,https://qdrant.tech/documentation/search/filtering/#geo-bounding-box,1
q07,https://qdrant.tech/documentation/capacity-planning/#payload-indexes,1
q07,https://qdrant.tech/documentation/edge/edge-api/updating-data/#payload-indexes,1
q07,https://qdrant.tech/documentation/edge/edge-quickstart/#create-a-payload-index,1
q07,https://qdrant.tech/documentation/faq/qdrant-fundamentals/#if-i-need-to-add-a-payload-index-after-the-hnsw-index-has-already-been-built-how-do-i-trigger-a-full-reindex,1
q07,https://qdrant.tech/documentation/faq/qdrant-fundamentals/#should-i-create-payload-indexes-before-or-after-uploading,1
q07,https://qdrant.tech/documentation/manage-data/bulk-upload/#create-payload-indexes-before-ingesting-data,1
q07,https://qdrant.tech/documentation/manage-data/indexing/#create-a-payload-index,1
q07,https://qdrant.tech/documentation/manage-data/indexing/#on-disk-payload-index,1
q07,https://qdrant.tech/documentation/manage-data/indexing/#payload-index,1
q07,https://qdrant.tech/documentation/manage-data/payload/#payload-indexing,1
